"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","","","2019126057","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","04","N","2019126755","0","1","","1","06","U","TOYT","2005","01","1","","1","00","W","000","0","","3","01","05","03","03","PA","2","01","4T1BE30K05U","P4D"
"","69","N","2019044638","3","3","","3","06","Y","NISS","2018","02","1","","1","00","W","999","0","","1","01","04","05","01","PA","1","06","JN8AT2MV5JW","T"
"","15","N","2019127021","1","1","","1","12","Y","TOYT","2015","02","1","","1","00","E","999","0","","1","01","12","01","01","PA","1","06","5TDJKRFH2FS","T4W"
"","04","N","2019045933","3","1","","1","09","Y","FORD","2013","01","1","","1","00","W","999","0","","2","01","05","01","01","PA","2","01","3FA6P0H76DR","P4D"
"","09","N","2019046096","9","4","","1","12","U","","","","1","","2","01","W","999","0","","1","05","05","15","03","","1","01","",""
"","04","N","2019127541","3","1","","2","01","Y","CHEV","2017","01","1","","1","00","W","999","0","","1","01","05","12","04","PA","2","01","1G1ZB5ST1HF","P4D"
"","09","N","2019046979","3","1","","1","12","Y","TOYT","2019","01","1","","1","00","W","035","0","","2","01","01","01","01","PA","2","01","NMTKHMBX2KR","P"
"","03","N","2019048706","3","1","","3","02","Y","STRN","2002","02","1","","1","00","E","999","0","","1","01","05","01","01","PA","1","01","1G8ZY12772Z","P3P"
"","","","2019126296","","","","","","","","","00","1","","","","","","","","2","31","","","","","2","","",""
"","04","N","2019127023","3","1","","3","12","Y","FORD","2009","01","1","","4","00","N","999","0","","1","01","01","12","98","PA","1","01","1FAHP35NX9W","P4D"
"","15","N","2019045296","3","1","","1","12","Y","KIA","2008","01","1","","1","00","W","999","0","","1","01","03","01","01","PA","1","06","KNDJC735485","T4W"
"","05","N","2019047454","1","1","","1","12","Y","AUDI","2012","01","1","","1","00","W","999","0","","1","01","02","01","01","PA","1","01","WAU2GAFC8CN","P4H"
"","04","N","2019045604","3","1","","1","06","Y","HOND","2015","01","1","","1","00","S","030","0","","2","01","12","01","03","PA","2","01","2HGFB2F6XFH","P4D"
"","05","N","2019047049","3","1","","1","03","Y","HOND","2017","01","1","","1","99","W","999","0","","2","01","03","04","01","PA","2","01","JHMGK5H58HS","P4H"
